Statistical profiling result from .\isolate-000001F9E0ABE580-20512-v8.log, (20519 ticks, 24 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.4%  LazyCompile: *appendContent D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:375:40
      3    0.0%    0.4%  LazyCompile: *SourceNode_add D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\source-map\lib\source-node.js:172:51
      3    0.0%    0.4%  LazyCompile: *PathExpression D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\compiler.js:289:42
      3    0.0%    0.4%  LazyCompile: *Glob._process D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\glob\glob.js:295:36
      3    0.0%    0.4%  LazyCompile: *Glob D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\glob\glob.js:117:15
      3    0.0%    0.4%  LazyCompile: *<anonymous> file:///D:/Courses/Backend%20Coderhouse/Clase%2030%20-%20PROXY%20_%20NGINX/Servidor-con-balance-de-carga/routes/mainRouter.js:47:25
      3    0.0%    0.4%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\source-map\lib\source-node.js:174:29
      3    0.0%    0.4%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\sdam\topology.js:479:26
      3    0.0%    0.4%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express-handlebars\dist\express-handlebars.js:251:47
      3    0.0%    0.4%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\connect-mongo\build\main\lib\MongoStore.js:236:10
      3    0.0%    0.4%  LazyCompile: *<anonymous> D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\connect-mongo\build\main\lib\MongoStore.js:203:10
      2    0.0%    0.2%  RegExp: ^\s*([^;\s]*)(?:;|\s|$)
      2    0.0%    0.2%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.2%  RegExp: ^[ \t]*\r?\n?
      2    0.0%    0.2%  RegExp: ^(?:\}(~)?\}\})
      2    0.0%    0.2%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      2    0.0%    0.2%  RegExp: ^(?:"(\\["]|[^"])*")
      2    0.0%    0.2%  RegExp: \r?\n\s*?$
      2    0.0%    0.2%  LazyCompile: *writevGeneric node:internal/stream_base_commons:122:23
      2    0.0%    0.2%  LazyCompile: *writeU_Int32LE node:internal/buffer:690:24
      2    0.0%    0.2%  LazyCompile: *write D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\pino\lib\multistream.js:46:18
      2    0.0%    0.2%  LazyCompile: *write D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cmap\connection.js:403:15
      2    0.0%    0.2%  LazyCompile: *trim_prefix D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\index.js:293:23
      2    0.0%    0.2%  LazyCompile: *stripFlags D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\helpers.js:52:20
      2    0.0%    0.2%  LazyCompile: *setopts D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\glob\common.js:48:18
      2    0.0%    0.2%  LazyCompile: *send D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\response.js:111:25
      2    0.0%    0.2%  LazyCompile: *resolvePath D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:492:36
      2    0.0%    0.2%  LazyCompile: *removeListener node:events:689:28
      2    0.0%    0.2%  LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
      2    0.0%    0.2%  LazyCompile: *readFileAfterClose node:internal/fs/read_file_context:46:28
      2    0.0%    0.2%  LazyCompile: *readFile D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\graceful-fs\graceful-fs.js:111:21
      2    0.0%    0.2%  LazyCompile: *quotedString D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\code-gen.js:118:38
      2    0.0%    0.2%  LazyCompile: *prepareProgram D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\helpers.js:185:24
      2    0.0%    0.2%  LazyCompile: *parserOnHeadersComplete node:_http_common:77:33
      2    0.0%    0.2%  LazyCompile: *parseWithoutProcessing D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\base.js:33:32
      2    0.0%    0.2%  LazyCompile: *onceWrapper node:events:636:21
      2    0.0%    0.2%  LazyCompile: *onStreamRead node:internal/stream_base_commons:167:22
      2    0.0%    0.2%  LazyCompile: *lookupOnContext D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:448:44
      2    0.0%    0.2%  LazyCompile: *listenerCount node:events:854:23
      2    0.0%    0.2%  LazyCompile: *invokePartialWrapper D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\runtime.js:70:32
      2    0.0%    0.2%  LazyCompile: *invokePartial D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\runtime.js:298:23
      2    0.0%    0.2%  LazyCompile: *invokeKnownHelper D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\javascript-compiler.js:682:48
      2    0.0%    0.2%  LazyCompile: *handle D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\express\lib\router\index.js:136:31
      2    0.0%    0.2%  LazyCompile: *getStatsFromBinding node:internal/fs/utils:531:29
      2    0.0%    0.2%  LazyCompile: *get closed D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\mongodb\lib\cmap\connection_pool.js:101:15
      2    0.0%    0.2%  LazyCompile: *functionCall D:\Courses\Backend Coderhouse\Clase 30 - PROXY _ NGINX\Servidor-con-balance-de-carga\node_modules\handlebars\dist\cjs\handlebars\compiler\code-gen.js:113:38
